company,product,typename,inches,cpu,ram(GB),gpu,opsys,weight(kg),resolution,screentype,touchscreen,cpu(GHz),memory_1_storage_gb,memory_1_type,memory_2_storage_gb,memory_2_type,log_price
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 7100U ,6,Intel HD Graphics 620,Windows 10,2.3,1366x768,,False,2.4,1000.0,HDD,0.0,,6.129050210060545
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.5,1920x1080,IPSPanel,False,2.5,256.0,SSD,0.0,,6.720220155135295
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.2,1920x1080,,False,1.8,256.0,SSD,0.0,,7.364547014255642
Asus,ZenBook UX305CA-UBM1,Ultrabook,13.3,Intel Core M 6Y30 ,8,Intel HD Graphics 515,Windows 10,1.2,1920x1080,IPSPanel,False,0.9,512.0,SSD,0.0,,6.591673732008658
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon R5 M430,Linux,2.25,1366x768,,False,2.0,1000.0,HDD,0.0,,6.143369850821135
MSI,GT62VR 7RE,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,2.94,1920x1080,,False,2.8,256.0,SSD,1000.0,HDD,7.726591934547305
Lenovo,IdeaPad 320-14IAP,Notebook,14.0,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,2.1,1366x768,,False,1.1,500.0,HDD,0.0,,5.700443573390687
Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U ,16,AMD Radeon 530,Windows 10,2.8,1920x1080,,False,1.8,256.0,SSD,2000.0,HDD,7.241366283322318
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Intel Pentium Quad Core N3710 ,8,Intel HD Graphics 405,Windows 10,2.04,1366x768,,False,1.6,2000.0,HDD,0.0,,5.963579343618446
Dell,Vostro 3568,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,2.18,1366x768,,False,2.0,1000.0,HDD,0.0,,6.325433653511077
Asus,Rog GL753VD-GC042T,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,3.0,1920x1080,,False,2.8,1000.0,HDD,0.0,,6.946013991099227
Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1920x1080,IPSPanel,False,2.8,128.0,SSD,1000.0,HDD,7.055312843339752
HP,ProBook 470,Notebook,17.3,Intel Core i5 7200U ,8,Nvidia GeForce 930MX,Windows 10,2.63,1600x900,,False,2.5,1000.0,HDD,0.0,,6.813444599510896
Dell,Latitude 5580,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.9,1920x1080,,False,2.5,256.0,SSD,0.0,,7.018392846477649
Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 ,8,Intel Iris Graphics 550,macOS,1.37,2560x1600,IPSPanelRetinaDisplay,False,2.9,512.0,SSD,0.0,,7.5801383701893545
Dell,Inspiron 5578,2 in 1 Convertible,15.6,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,2.09,1920x1080,,True,2.7,512.0,SSD,0.0,,7.072421900537371
Dell,Inspiron 3552,Notebook,15.6,Intel Pentium Quad Core N3700 ,4,Intel HD Graphics,Windows 10,2.2,1366x768,,False,1.6,500.0,HDD,0.0,,6.095802039656067
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,15.6,Intel Core i5 6300HQ ,4,Nvidia GeForce GTX 950M,No OS,2.45,1366x768,,False,2.3,1000.0,HDD,0.0,,6.361302477572996
HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U ,8,Nvidia GeForce 930MX,Windows 10,2.5,1920x1080,,False,1.6,1000.0,HDD,0.0,,6.79794041297493
MSI,GS43VR 7RE,Gaming,14.0,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,1.6,1920x1080,IPSPanel,False,2.8,256.0,SSD,1000.0,HDD,7.544861068658458
Acer,Aspire E5-576G,Notebook,15.6,Intel Core i5 7200U ,4,Nvidia GeForce 940MX,Windows 10,2.23,1920x1080,,False,2.5,1000.0,HDD,0.0,,6.423246963533519
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,AMD E-Series E2-6110 ,2,AMD Radeon R2,Windows 10,1.65,1366x768,,False,1.5,32.0,FlashStorage,0.0,,5.293304824724492
